full_name,player_id,season
Duncan Robinson,1629130,2025-26
Jordan McLaughlin,1629162,2025-26
Gabe Vincent,1629216,2025-26
Gabe Vincent,1629216,2025-26
Drew Eubanks,1629234,2025-26
Haywood Highsmith,1629312,2025-26
Amir Coffey,1629599,2025-26
Amir Coffey,1629599,2025-26
DaQuan Jeffries,1629610,2025-26
Terance Mann,1629611,2025-26
Andrew Nembhard,1629614,2025-26
Jalen Pickett,1629618,2025-26
Max Strus,1629622,2025-26
Zion Williamson,1629627,2025-26
RJ Barrett,1629628,2025-26
Ja Morant,1629630,2025-26
De'Andre Hunter,1629631,2025-26
De'Andre Hunter,1629631,2025-26
Coby White,1629632,2025-26
Coby White,1629632,2025-26
Brandon Clarke,1629634,2025-26
Darius Garland,1629636,2025-26
Darius Garland,1629636,2025-26
Jaxson Hayes,1629637,2025-26
Nickeil Alexander-Walker,1629638,2025-26
Tyler Herro,1629639,2025-26
Keldon Johnson,1629640,2025-26
Kevin Porter Jr.,1629645,2025-26
Charles Bassey,1629646,2025-26
Charles Bassey,1629646,2025-26
Nic Claxton,1629651,2025-26
Luguentz Dort,1629652,2025-26
Daniel Gafford,1629655,2025-26
Quentin Grimes,1629656,2025-26
Ty Jerome,1629660,2025-26
Cameron Johnson,1629661,2025-26
Jordan Poole,1629673,2025-26
Neemias Queta,1629674,2025-26
Naz Reid,1629675,2025-26
Matisse Thybulle,1629680,2025-26
Grant Williams,1629684,2025-26
John Konchar,1629723,2025-26
John Konchar,1629723,2025-26
Garrison Mathews,1629726,2025-26
Dean Wade,1629731,2025-26
Javonte Green,1629750,2025-26
Anthony Edwards,1630162,2025-26
LaMelo Ball,1630163,2025-26
James Wiseman,1630164,2025-26
Killian Hayes,1630165,2025-26
Deni Avdija,1630166,2025-26
Obi Toppin,1630167,2025-26
Onyeka Okongwu,1630168,2025-26
Devin Vassell,1630170,2025-26
Isaac Okoro,1630171,2025-26
Patrick Williams,1630172,2025-26
Precious Achiuwa,1630173,2025-26
Aaron Nesmith,1630174,2025-26
Cole Anthony,1630175,2025-26
Tyrese Maxey,1630178,2025-26
Saddiq Bey,1630180,2025-26
Josh Green,1630182,2025-26
Jaden McDaniels,1630183,2025-26
Jalen Smith,1630188,2025-26
Isaiah Stewart,1630191,2025-26
Zeke Nnaji,1630192,2025-26
Immanuel Quickley,1630193,2025-26
Paul Reed,1630194,2025-26
Isaiah Joe,1630198,2025-26
Tre Jones,1630200,2025-26
Payton Pritchard,1630202,2025-26
Nick Richards,1630208,2025-26
Nick Richards,1630208,2025-26
Omer Yurtseven,1630209,2025-26
Xavier Tillman,1630214,2025-26
Xavier Tillman,1630214,2025-26
Desmond Bane,1630217,2025-26
Jalen Green,1630224,2025-26
Jonathan Kuminga,1630228,2025-26
Jonathan Kuminga,1630228,2025-26
Naji Marshall,1630230,2025-26
Sam Merrill,1630241,2025-26
Ayo Dosunmu,1630245,2025-26
Ayo Dosunmu,1630245,2025-26
Vít Krejčí,1630249,2025-26
Vít Krejčí,1630249,2025-26
Jae'Sean Tate,1630256,2025-26
Anthony Gill,1630264,2025-26
Trevon Scott,1630286,2025-26
Pat Spencer,1630311,2025-26
Brandon Williams,1630314,2025-26
Lindy Waters III,1630322,2025-26
Jeremiah Robinson-Earl,1630526,2025-26
Jeremiah Robinson-Earl,1630526,2025-26
